FilterType,b,alpha,n,iteration
Cuckoo,1.000000,0.349200,10000.000000,0
Cuckoo,1.000000,0.322100,10000.000000,1
Cuckoo,1.000000,0.363000,10000.000000,2
Cuckoo,1.000000,0.298500,10000.000000,3
Cuckoo,1.000000,0.335400,10000.000000,4
Cuckoo,1.000000,0.320800,10000.000000,5
Cuckoo,1.000000,0.401900,10000.000000,6
Cuckoo,1.000000,0.317100,10000.000000,7
Cuckoo,1.000000,0.322600,10000.000000,8
Cuckoo,1.000000,0.383200,10000.000000,9
Cuckoo,1.000000,0.257800,10000.000000,10
Cuckoo,1.000000,0.290700,10000.000000,11
Cuckoo,1.000000,0.402000,10000.000000,12
Cuckoo,1.000000,0.411100,10000.000000,13
Cuckoo,1.000000,0.275200,10000.000000,14
Cuckoo,2.000000,0.467700,10000.000000,0
Cuckoo,2.000000,0.566000,10000.000000,1
Cuckoo,2.000000,0.594900,10000.000000,2
Cuckoo,2.000000,0.456800,10000.000000,3
Cuckoo,2.000000,0.535900,10000.000000,4
Cuckoo,2.000000,0.595800,10000.000000,5
Cuckoo,2.000000,0.540000,10000.000000,6
Cuckoo,2.000000,0.605600,10000.000000,7
Cuckoo,2.000000,0.575700,10000.000000,8
Cuckoo,2.000000,0.581100,10000.000000,9
Cuckoo,2.000000,0.552600,10000.000000,10
Cuckoo,2.000000,0.563900,10000.000000,11
Cuckoo,2.000000,0.405400,10000.000000,12
Cuckoo,2.000000,0.568800,10000.000000,13
Cuckoo,2.000000,0.563200,10000.000000,14
Cuckoo,4.000000,0.678800,10000.000000,0
Cuckoo,4.000000,0.722300,10000.000000,1
Cuckoo,4.000000,0.692300,10000.000000,2
Cuckoo,4.000000,0.634700,10000.000000,3
Cuckoo,4.000000,0.628900,10000.000000,4
Cuckoo,4.000000,0.709000,10000.000000,5
Cuckoo,4.000000,0.607200,10000.000000,6
Cuckoo,4.000000,0.747000,10000.000000,7
Cuckoo,4.000000,0.713000,10000.000000,8
Cuckoo,4.000000,0.654900,10000.000000,9
Cuckoo,4.000000,0.679800,10000.000000,10
Cuckoo,4.000000,0.697000,10000.000000,11
Cuckoo,4.000000,0.666600,10000.000000,12
Cuckoo,4.000000,0.738300,10000.000000,13
Cuckoo,4.000000,0.713300,10000.000000,14
Cuckoo,8.000000,0.819900,10000.000000,0
Cuckoo,8.000000,0.813000,10000.000000,1
Cuckoo,8.000000,0.787600,10000.000000,2
Cuckoo,8.000000,0.717200,10000.000000,3
Cuckoo,8.000000,0.798300,10000.000000,4
Cuckoo,8.000000,0.825400,10000.000000,5
Cuckoo,8.000000,0.775000,10000.000000,6
Cuckoo,8.000000,0.709100,10000.000000,7
Cuckoo,8.000000,0.813900,10000.000000,8
Cuckoo,8.000000,0.842800,10000.000000,9
Cuckoo,8.000000,0.813300,10000.000000,10
Cuckoo,8.000000,0.843200,10000.000000,11
Cuckoo,8.000000,0.828800,10000.000000,12
Cuckoo,8.000000,0.836200,10000.000000,13
Cuckoo,8.000000,0.714800,10000.000000,14
Cuckoo,1.000000,0.257280,100000.000000,0
Cuckoo,1.000000,0.192170,100000.000000,1
Cuckoo,1.000000,0.206930,100000.000000,2
Cuckoo,1.000000,0.279840,100000.000000,3
Cuckoo,1.000000,0.285900,100000.000000,4
Cuckoo,1.000000,0.310810,100000.000000,5
Cuckoo,1.000000,0.276910,100000.000000,6
Cuckoo,1.000000,0.273460,100000.000000,7
Cuckoo,1.000000,0.332300,100000.000000,8
Cuckoo,1.000000,0.299510,100000.000000,9
Cuckoo,1.000000,0.216170,100000.000000,10
Cuckoo,1.000000,0.297060,100000.000000,11
Cuckoo,1.000000,0.236070,100000.000000,12
Cuckoo,1.000000,0.237660,100000.000000,13
Cuckoo,1.000000,0.207140,100000.000000,14
Cuckoo,2.000000,0.417320,100000.000000,0
Cuckoo,2.000000,0.342640,100000.000000,1
Cuckoo,2.000000,0.420840,100000.000000,2
Cuckoo,2.000000,0.517880,100000.000000,3
Cuckoo,2.000000,0.456010,100000.000000,4
Cuckoo,2.000000,0.446130,100000.000000,5
Cuckoo,2.000000,0.456660,100000.000000,6
Cuckoo,2.000000,0.377760,100000.000000,7
Cuckoo,2.000000,0.457440,100000.000000,8
Cuckoo,2.000000,0.452440,100000.000000,9
Cuckoo,2.000000,0.435430,100000.000000,10
Cuckoo,2.000000,0.516250,100000.000000,11
Cuckoo,2.000000,0.403140,100000.000000,12
Cuckoo,2.000000,0.432260,100000.000000,13
Cuckoo,2.000000,0.444480,100000.000000,14
Cuckoo,4.000000,0.665390,100000.000000,0
Cuckoo,4.000000,0.628940,100000.000000,1
Cuckoo,4.000000,0.581010,100000.000000,2
Cuckoo,4.000000,0.582910,100000.000000,3
Cuckoo,4.000000,0.577130,100000.000000,4
Cuckoo,4.000000,0.563010,100000.000000,5
Cuckoo,4.000000,0.613100,100000.000000,6
Cuckoo,4.000000,0.660530,100000.000000,7
Cuckoo,4.000000,0.601860,100000.000000,8
Cuckoo,4.000000,0.643160,100000.000000,9
Cuckoo,4.000000,0.583770,100000.000000,10
Cuckoo,4.000000,0.644680,100000.000000,11
Cuckoo,4.000000,0.592120,100000.000000,12
Cuckoo,4.000000,0.595680,100000.000000,13
Cuckoo,4.000000,0.549770,100000.000000,14
Cuckoo,8.000000,0.723400,100000.000000,0
Cuckoo,8.000000,0.778210,100000.000000,1
Cuckoo,8.000000,0.715960,100000.000000,2
Cuckoo,8.000000,0.720160,100000.000000,3
Cuckoo,8.000000,0.787800,100000.000000,4
Cuckoo,8.000000,0.699760,100000.000000,5
Cuckoo,8.000000,0.754910,100000.000000,6
Cuckoo,8.000000,0.762220,100000.000000,7
Cuckoo,8.000000,0.722600,100000.000000,8
Cuckoo,8.000000,0.712920,100000.000000,9
Cuckoo,8.000000,0.701920,100000.000000,10
Cuckoo,8.000000,0.726670,100000.000000,11
Cuckoo,8.000000,0.728500,100000.000000,12
Cuckoo,8.000000,0.735010,100000.000000,13
Cuckoo,8.000000,0.697210,100000.000000,14
Cuckoo,1.000000,0.199058,1000000.000000,0
Cuckoo,1.000000,0.189091,1000000.000000,1
Cuckoo,1.000000,0.192541,1000000.000000,2
Cuckoo,1.000000,0.104770,1000000.000000,3
Cuckoo,1.000000,0.206239,1000000.000000,4
Cuckoo,1.000000,0.221211,1000000.000000,5
Cuckoo,1.000000,0.176525,1000000.000000,6
Cuckoo,1.000000,0.178079,1000000.000000,7
Cuckoo,1.000000,0.169174,1000000.000000,8
Cuckoo,1.000000,0.237288,1000000.000000,9
Cuckoo,1.000000,0.206446,1000000.000000,10
Cuckoo,1.000000,0.172691,1000000.000000,11
Cuckoo,1.000000,0.182098,1000000.000000,12
Cuckoo,1.000000,0.182214,1000000.000000,13
Cuckoo,1.000000,0.193996,1000000.000000,14
Cuckoo,2.000000,0.314305,1000000.000000,0
Cuckoo,2.000000,0.367971,1000000.000000,1
Cuckoo,2.000000,0.410115,1000000.000000,2
Cuckoo,2.000000,0.414002,1000000.000000,3
Cuckoo,2.000000,0.376856,1000000.000000,4
Cuckoo,2.000000,0.336695,1000000.000000,5
Cuckoo,2.000000,0.306745,1000000.000000,6
Cuckoo,2.000000,0.348917,1000000.000000,7
Cuckoo,2.000000,0.367060,1000000.000000,8
Cuckoo,2.000000,0.425734,1000000.000000,9
Cuckoo,2.000000,0.394843,1000000.000000,10
Cuckoo,2.000000,0.417292,1000000.000000,11
Cuckoo,2.000000,0.406294,1000000.000000,12
Cuckoo,2.000000,0.353886,1000000.000000,13
Cuckoo,2.000000,0.409665,1000000.000000,14
Cuckoo,4.000000,0.542337,1000000.000000,0
Cuckoo,4.000000,0.558206,1000000.000000,1
Cuckoo,4.000000,0.566802,1000000.000000,2
Cuckoo,4.000000,0.510644,1000000.000000,3
Cuckoo,4.000000,0.552455,1000000.000000,4
Cuckoo,4.000000,0.526541,1000000.000000,5
Cuckoo,4.000000,0.566227,1000000.000000,6
Cuckoo,4.000000,0.627331,1000000.000000,7
Cuckoo,4.000000,0.542755,1000000.000000,8
Cuckoo,4.000000,0.583781,1000000.000000,9
Cuckoo,4.000000,0.529943,1000000.000000,10
Cuckoo,4.000000,0.524197,1000000.000000,11
Cuckoo,4.000000,0.578207,1000000.000000,12
Cuckoo,4.000000,0.535348,1000000.000000,13
Cuckoo,4.000000,0.502144,1000000.000000,14
Cuckoo,8.000000,0.694152,1000000.000000,0
Cuckoo,8.000000,0.639002,1000000.000000,1
Cuckoo,8.000000,0.693721,1000000.000000,2
Cuckoo,8.000000,0.679946,1000000.000000,3
Cuckoo,8.000000,0.704034,1000000.000000,4
Cuckoo,8.000000,0.697803,1000000.000000,5
Cuckoo,8.000000,0.677527,1000000.000000,6
Cuckoo,8.000000,0.682995,1000000.000000,7
Cuckoo,8.000000,0.678436,1000000.000000,8
Cuckoo,8.000000,0.688794,1000000.000000,9
Cuckoo,8.000000,0.681496,1000000.000000,10
Cuckoo,8.000000,0.687032,1000000.000000,11
Cuckoo,8.000000,0.712313,1000000.000000,12
Cuckoo,8.000000,0.631301,1000000.000000,13
Cuckoo,8.000000,0.688065,1000000.000000,14
Cuckoo,1.000000,0.145654,10000000.000000,0
Cuckoo,1.000000,0.134011,10000000.000000,1
Cuckoo,1.000000,0.138913,10000000.000000,2
Cuckoo,1.000000,0.124875,10000000.000000,3
Cuckoo,1.000000,0.134594,10000000.000000,4
Cuckoo,1.000000,0.020621,10000000.000000,5
Cuckoo,1.000000,0.087308,10000000.000000,6
Cuckoo,1.000000,0.149879,10000000.000000,7
Cuckoo,1.000000,0.138947,10000000.000000,8
Cuckoo,1.000000,0.142816,10000000.000000,9
Cuckoo,1.000000,0.105540,10000000.000000,10
Cuckoo,1.000000,0.117525,10000000.000000,11
Cuckoo,1.000000,0.120858,10000000.000000,12
Cuckoo,1.000000,0.136446,10000000.000000,13
Cuckoo,1.000000,0.142918,10000000.000000,14
Cuckoo,2.000000,0.279185,10000000.000000,0
Cuckoo,2.000000,0.311993,10000000.000000,1
Cuckoo,2.000000,0.268870,10000000.000000,2
Cuckoo,2.000000,0.298191,10000000.000000,3
Cuckoo,2.000000,0.306650,10000000.000000,4
Cuckoo,2.000000,0.319267,10000000.000000,5
Cuckoo,2.000000,0.310596,10000000.000000,6
Cuckoo,2.000000,0.327661,10000000.000000,7
Cuckoo,2.000000,0.289575,10000000.000000,8
Cuckoo,2.000000,0.327726,10000000.000000,9
Cuckoo,2.000000,0.333826,10000000.000000,10
Cuckoo,2.000000,0.339482,10000000.000000,11
Cuckoo,2.000000,0.289744,10000000.000000,12
Cuckoo,2.000000,0.289982,10000000.000000,13
Cuckoo,2.000000,0.312501,10000000.000000,14
Cuckoo,4.000000,0.478705,10000000.000000,0
Cuckoo,4.000000,0.485902,10000000.000000,1
Cuckoo,4.000000,0.509694,10000000.000000,2
Cuckoo,4.000000,0.477778,10000000.000000,3
Cuckoo,4.000000,0.468704,10000000.000000,4
Cuckoo,4.000000,0.484647,10000000.000000,5
Cuckoo,4.000000,0.488163,10000000.000000,6
Cuckoo,4.000000,0.497880,10000000.000000,7
Cuckoo,4.000000,0.485186,10000000.000000,8
Cuckoo,4.000000,0.522918,10000000.000000,9
Cuckoo,4.000000,0.522825,10000000.000000,10
Cuckoo,4.000000,0.468154,10000000.000000,11
Cuckoo,4.000000,0.503433,10000000.000000,12
Cuckoo,4.000000,0.533883,10000000.000000,13
Cuckoo,4.000000,0.451990,10000000.000000,14
Cuckoo,8.000000,0.601060,10000000.000000,0
Cuckoo,8.000000,0.627893,10000000.000000,1
Cuckoo,8.000000,0.607059,10000000.000000,2
Cuckoo,8.000000,0.628284,10000000.000000,3
Cuckoo,8.000000,0.652558,10000000.000000,4
Cuckoo,8.000000,0.629874,10000000.000000,5
Cuckoo,8.000000,0.616101,10000000.000000,6
Cuckoo,8.000000,0.638410,10000000.000000,7
Cuckoo,8.000000,0.633084,10000000.000000,8
Cuckoo,8.000000,0.623367,10000000.000000,9
Cuckoo,8.000000,0.659741,10000000.000000,10
Cuckoo,8.000000,0.635451,10000000.000000,11
Cuckoo,8.000000,0.606321,10000000.000000,12
Cuckoo,8.000000,0.580675,10000000.000000,13
Cuckoo,8.000000,0.631621,10000000.000000,14
