FilterType,beta,fpr,targetFpr,iteration
Bloom,1.140000,0.011714,0.010000,0
Bloom,1.140000,0.011854,0.010000,1
Bloom,1.140000,0.011785,0.010000,2
Bloom,1.140000,0.011698,0.010000,3
Bloom,1.140000,0.011551,0.010000,4
Bloom,1.140000,0.011733,0.010000,5
Bloom,1.140000,0.011796,0.010000,6
Bloom,1.140000,0.011664,0.010000,7
Bloom,1.140000,0.011658,0.010000,8
Bloom,1.140000,0.011814,0.010000,9
Bloom,1.140000,0.011610,0.010000,10
Bloom,1.140000,0.011612,0.010000,11
Bloom,1.140000,0.011668,0.010000,12
Bloom,1.140000,0.011682,0.010000,13
Bloom,1.140000,0.011721,0.010000,14
Bloom,1.150000,0.011472,0.010000,0
Bloom,1.150000,0.011497,0.010000,1
Bloom,1.150000,0.011609,0.010000,2
Bloom,1.150000,0.011362,0.010000,3
Bloom,1.150000,0.011593,0.010000,4
Bloom,1.150000,0.011575,0.010000,5
Bloom,1.150000,0.011558,0.010000,6
Bloom,1.150000,0.011599,0.010000,7
Bloom,1.150000,0.011457,0.010000,8
Bloom,1.150000,0.011413,0.010000,9
Bloom,1.150000,0.011297,0.010000,10
Bloom,1.150000,0.011585,0.010000,11
Bloom,1.150000,0.011696,0.010000,12
Bloom,1.150000,0.011669,0.010000,13
Bloom,1.150000,0.011390,0.010000,14
Bloom,1.160000,0.011427,0.010000,0
Bloom,1.160000,0.011241,0.010000,1
Bloom,1.160000,0.011359,0.010000,2
Bloom,1.160000,0.011430,0.010000,3
Bloom,1.160000,0.011403,0.010000,4
Bloom,1.160000,0.011463,0.010000,5
Bloom,1.160000,0.011336,0.010000,6
Bloom,1.160000,0.011286,0.010000,7
Bloom,1.160000,0.011449,0.010000,8
Bloom,1.160000,0.011621,0.010000,9
Bloom,1.160000,0.011502,0.010000,10
Bloom,1.160000,0.011433,0.010000,11
Bloom,1.160000,0.011392,0.010000,12
Bloom,1.160000,0.011566,0.010000,13
Bloom,1.160000,0.011589,0.010000,14
Bloom,1.170000,0.011159,0.010000,0
Bloom,1.170000,0.011334,0.010000,1
Bloom,1.170000,0.011197,0.010000,2
Bloom,1.170000,0.011293,0.010000,3
Bloom,1.170000,0.011353,0.010000,4
Bloom,1.170000,0.011243,0.010000,5
Bloom,1.170000,0.011120,0.010000,6
Bloom,1.170000,0.011255,0.010000,7
Bloom,1.170000,0.011280,0.010000,8
Bloom,1.170000,0.011144,0.010000,9
Bloom,1.170000,0.011263,0.010000,10
Bloom,1.170000,0.011389,0.010000,11
Bloom,1.170000,0.011231,0.010000,12
Bloom,1.170000,0.011130,0.010000,13
Bloom,1.170000,0.011366,0.010000,14
Bloom,1.180000,0.011086,0.010000,0
Bloom,1.180000,0.011134,0.010000,1
Bloom,1.180000,0.010929,0.010000,2
Bloom,1.180000,0.011030,0.010000,3
Bloom,1.180000,0.011165,0.010000,4
Bloom,1.180000,0.011247,0.010000,5
Bloom,1.180000,0.011163,0.010000,6
Bloom,1.180000,0.011184,0.010000,7
Bloom,1.180000,0.011053,0.010000,8
Bloom,1.180000,0.011064,0.010000,9
Bloom,1.180000,0.011241,0.010000,10
Bloom,1.180000,0.011178,0.010000,11
Bloom,1.180000,0.011261,0.010000,12
Bloom,1.180000,0.011010,0.010000,13
Bloom,1.180000,0.011118,0.010000,14
Bloom,1.190000,0.010983,0.010000,0
Bloom,1.190000,0.011020,0.010000,1
Bloom,1.190000,0.010977,0.010000,2
Bloom,1.190000,0.011057,0.010000,3
Bloom,1.190000,0.011157,0.010000,4
Bloom,1.190000,0.011019,0.010000,5
Bloom,1.190000,0.011001,0.010000,6
Bloom,1.190000,0.011132,0.010000,7
Bloom,1.190000,0.010987,0.010000,8
Bloom,1.190000,0.011063,0.010000,9
Bloom,1.190000,0.010950,0.010000,10
Bloom,1.190000,0.011214,0.010000,11
Bloom,1.190000,0.010957,0.010000,12
Bloom,1.190000,0.011085,0.010000,13
Bloom,1.190000,0.010898,0.010000,14
Bloom,1.200000,0.010958,0.010000,0
Bloom,1.200000,0.010940,0.010000,1
Bloom,1.200000,0.010942,0.010000,2
Bloom,1.200000,0.010763,0.010000,3
Bloom,1.200000,0.010811,0.010000,4
Bloom,1.200000,0.010918,0.010000,5
Bloom,1.200000,0.010857,0.010000,6
Bloom,1.200000,0.011128,0.010000,7
Bloom,1.200000,0.010853,0.010000,8
Bloom,1.200000,0.010801,0.010000,9
Bloom,1.200000,0.010906,0.010000,10
Bloom,1.200000,0.010959,0.010000,11
Bloom,1.200000,0.011000,0.010000,12
Bloom,1.200000,0.010857,0.010000,13
Bloom,1.200000,0.011019,0.010000,14
Bloom,1.210000,0.010807,0.010000,0
Bloom,1.210000,0.010809,0.010000,1
Bloom,1.210000,0.010735,0.010000,2
Bloom,1.210000,0.010824,0.010000,3
Bloom,1.210000,0.010897,0.010000,4
Bloom,1.210000,0.010843,0.010000,5
Bloom,1.210000,0.010801,0.010000,6
Bloom,1.210000,0.010800,0.010000,7
Bloom,1.210000,0.010606,0.010000,8
Bloom,1.210000,0.010855,0.010000,9
Bloom,1.210000,0.010866,0.010000,10
Bloom,1.210000,0.010934,0.010000,11
Bloom,1.210000,0.010727,0.010000,12
Bloom,1.210000,0.010667,0.010000,13
Bloom,1.210000,0.010648,0.010000,14
Bloom,1.220000,0.010700,0.010000,0
Bloom,1.220000,0.010779,0.010000,1
Bloom,1.220000,0.010630,0.010000,2
Bloom,1.220000,0.010737,0.010000,3
Bloom,1.220000,0.010590,0.010000,4
Bloom,1.220000,0.010843,0.010000,5
Bloom,1.220000,0.010710,0.010000,6
Bloom,1.220000,0.010728,0.010000,7
Bloom,1.220000,0.010571,0.010000,8
Bloom,1.220000,0.010656,0.010000,9
Bloom,1.220000,0.010557,0.010000,10
Bloom,1.220000,0.010675,0.010000,11
Bloom,1.220000,0.010576,0.010000,12
Bloom,1.220000,0.010724,0.010000,13
Bloom,1.220000,0.010625,0.010000,14
Bloom,1.230000,0.010541,0.010000,0
Bloom,1.230000,0.010387,0.010000,1
Bloom,1.230000,0.010691,0.010000,2
Bloom,1.230000,0.010472,0.010000,3
Bloom,1.230000,0.010481,0.010000,4
Bloom,1.230000,0.010570,0.010000,5
Bloom,1.230000,0.010597,0.010000,6
Bloom,1.230000,0.010620,0.010000,7
Bloom,1.230000,0.010697,0.010000,8
Bloom,1.230000,0.010517,0.010000,9
Bloom,1.230000,0.010682,0.010000,10
Bloom,1.230000,0.010657,0.010000,11
Bloom,1.230000,0.010619,0.010000,12
Bloom,1.230000,0.010519,0.010000,13
Bloom,1.230000,0.010617,0.010000,14
Bloom,1.240000,0.010535,0.010000,0
Bloom,1.240000,0.010507,0.010000,1
Bloom,1.240000,0.010243,0.010000,2
Bloom,1.240000,0.010330,0.010000,3
Bloom,1.240000,0.010513,0.010000,4
Bloom,1.240000,0.010324,0.010000,5
Bloom,1.240000,0.010563,0.010000,6
Bloom,1.240000,0.010443,0.010000,7
Bloom,1.240000,0.010450,0.010000,8
Bloom,1.240000,0.010560,0.010000,9
Bloom,1.240000,0.010667,0.010000,10
Bloom,1.240000,0.010419,0.010000,11
Bloom,1.240000,0.010678,0.010000,12
Bloom,1.240000,0.010567,0.010000,13
Bloom,1.240000,0.010330,0.010000,14
Bloom,1.250000,0.010209,0.010000,0
Bloom,1.250000,0.010379,0.010000,1
Bloom,1.250000,0.010471,0.010000,2
Bloom,1.250000,0.010334,0.010000,3
Bloom,1.250000,0.010349,0.010000,4
Bloom,1.250000,0.010243,0.010000,5
Bloom,1.250000,0.010243,0.010000,6
Bloom,1.250000,0.010141,0.010000,7
Bloom,1.250000,0.010354,0.010000,8
Bloom,1.250000,0.010444,0.010000,9
Bloom,1.250000,0.010276,0.010000,10
Bloom,1.250000,0.010275,0.010000,11
Bloom,1.250000,0.010440,0.010000,12
Bloom,1.250000,0.010272,0.010000,13
Bloom,1.250000,0.010400,0.010000,14
Bloom,1.260000,0.010378,0.010000,0
Bloom,1.260000,0.010297,0.010000,1
Bloom,1.260000,0.010476,0.010000,2
Bloom,1.260000,0.010541,0.010000,3
Bloom,1.260000,0.010083,0.010000,4
Bloom,1.260000,0.010256,0.010000,5
Bloom,1.260000,0.010268,0.010000,6
Bloom,1.260000,0.010246,0.010000,7
Bloom,1.260000,0.010212,0.010000,8
Bloom,1.260000,0.010424,0.010000,9
Bloom,1.260000,0.010140,0.010000,10
Bloom,1.260000,0.010144,0.010000,11
Bloom,1.260000,0.010121,0.010000,12
Bloom,1.260000,0.010199,0.010000,13
Bloom,1.260000,0.010416,0.010000,14
Bloom,1.270000,0.010257,0.010000,0
Bloom,1.270000,0.009913,0.010000,1
Bloom,1.270000,0.010031,0.010000,2
Bloom,1.270000,0.010173,0.010000,3
Bloom,1.270000,0.010102,0.010000,4
Bloom,1.270000,0.010308,0.010000,5
Bloom,1.270000,0.010061,0.010000,6
Bloom,1.270000,0.010192,0.010000,7
Bloom,1.270000,0.010320,0.010000,8
Bloom,1.270000,0.010151,0.010000,9
Bloom,1.270000,0.010019,0.010000,10
Bloom,1.270000,0.010095,0.010000,11
Bloom,1.270000,0.010235,0.010000,12
Bloom,1.270000,0.009924,0.010000,13
Bloom,1.270000,0.010274,0.010000,14
Bloom,1.280000,0.010055,0.010000,0
Bloom,1.280000,0.010010,0.010000,1
Bloom,1.280000,0.009968,0.010000,2
Bloom,1.280000,0.010035,0.010000,3
Bloom,1.280000,0.010024,0.010000,4
Bloom,1.280000,0.010201,0.010000,5
Bloom,1.280000,0.010115,0.010000,6
Bloom,1.280000,0.010200,0.010000,7
Bloom,1.280000,0.010086,0.010000,8
Bloom,1.280000,0.010144,0.010000,9
Bloom,1.280000,0.010044,0.010000,10
Bloom,1.280000,0.010346,0.010000,11
Bloom,1.280000,0.009815,0.010000,12
Bloom,1.280000,0.009780,0.010000,13
Bloom,1.280000,0.010026,0.010000,14
Bloom,1.290000,0.009903,0.010000,0
Bloom,1.290000,0.009914,0.010000,1
Bloom,1.290000,0.009810,0.010000,2
Bloom,1.290000,0.010004,0.010000,3
Bloom,1.290000,0.009970,0.010000,4
Bloom,1.290000,0.009981,0.010000,5
Bloom,1.290000,0.010045,0.010000,6
Bloom,1.290000,0.009955,0.010000,7
Bloom,1.290000,0.009957,0.010000,8
Bloom,1.290000,0.009887,0.010000,9
Bloom,1.290000,0.009751,0.010000,10
Bloom,1.290000,0.009975,0.010000,11
Bloom,1.290000,0.009961,0.010000,12
Bloom,1.290000,0.009864,0.010000,13
Bloom,1.290000,0.009866,0.010000,14
Bloom,1.300000,0.009765,0.010000,0
Bloom,1.300000,0.009781,0.010000,1
Bloom,1.300000,0.009851,0.010000,2
Bloom,1.300000,0.010063,0.010000,3
Bloom,1.300000,0.009771,0.010000,4
Bloom,1.300000,0.009758,0.010000,5
Bloom,1.300000,0.009709,0.010000,6
Bloom,1.300000,0.009876,0.010000,7
Bloom,1.300000,0.009808,0.010000,8
Bloom,1.300000,0.009898,0.010000,9
Bloom,1.300000,0.009923,0.010000,10
Bloom,1.300000,0.009758,0.010000,11
Bloom,1.300000,0.009706,0.010000,12
Bloom,1.300000,0.009836,0.010000,13
Bloom,1.300000,0.009928,0.010000,14
