FilterType,m,constTime,targetFpr,iteration
Bloom,8.000000,18.547709,0.001000,0
Bloom,8.000000,18.332834,0.001000,1
Bloom,8.000000,17.988750,0.001000,2
Bloom,8.000000,18.409791,0.001000,3
Bloom,8.000000,18.118917,0.001000,4
Bloom,8.000000,18.206416,0.001000,5
Bloom,8.000000,18.006542,0.001000,6
Bloom,8.000000,19.411167,0.001000,7
Bloom,8.000000,18.013792,0.001000,8
Bloom,8.000000,18.152166,0.001000,9
Bloom,8.000000,17.977208,0.001000,10
Bloom,8.000000,18.247125,0.001000,11
Bloom,8.000000,18.094167,0.001000,12
Bloom,8.000000,18.030917,0.001000,13
Bloom,8.000000,18.514042,0.001000,14
Bloom,9.000000,19.977792,0.001000,0
Bloom,9.000000,20.155709,0.001000,1
Bloom,9.000000,20.063208,0.001000,2
Bloom,9.000000,19.976709,0.001000,3
Bloom,9.000000,19.943333,0.001000,4
Bloom,9.000000,20.013333,0.001000,5
Bloom,9.000000,19.879125,0.001000,6
Bloom,9.000000,19.998459,0.001000,7
Bloom,9.000000,19.957375,0.001000,8
Bloom,9.000000,19.993750,0.001000,9
Bloom,9.000000,20.241208,0.001000,10
Bloom,9.000000,19.954042,0.001000,11
Bloom,9.000000,20.249792,0.001000,12
Bloom,9.000000,20.006417,0.001000,13
Bloom,9.000000,20.178709,0.001000,14
Bloom,10.000000,21.834542,0.001000,0
Bloom,10.000000,21.891417,0.001000,1
Bloom,10.000000,22.413500,0.001000,2
Bloom,10.000000,21.664250,0.001000,3
Bloom,10.000000,22.211084,0.001000,4
Bloom,10.000000,21.799667,0.001000,5
Bloom,10.000000,21.962833,0.001000,6
Bloom,10.000000,21.650833,0.001000,7
Bloom,10.000000,21.993916,0.001000,8
Bloom,10.000000,22.334292,0.001000,9
Bloom,10.000000,21.794542,0.001000,10
Bloom,10.000000,21.890292,0.001000,11
Bloom,10.000000,21.934250,0.001000,12
Bloom,10.000000,22.088541,0.001000,13
Bloom,10.000000,21.696666,0.001000,14
Bloom,11.000000,23.421708,0.001000,0
Bloom,11.000000,23.263333,0.001000,1
Bloom,11.000000,23.525209,0.001000,2
Bloom,11.000000,23.694291,0.001000,3
Bloom,11.000000,23.265292,0.001000,4
Bloom,11.000000,23.768125,0.001000,5
Bloom,11.000000,23.478250,0.001000,6
Bloom,11.000000,23.274000,0.001000,7
Bloom,11.000000,23.282083,0.001000,8
Bloom,11.000000,23.277709,0.001000,9
Bloom,11.000000,23.710375,0.001000,10
Bloom,11.000000,23.304084,0.001000,11
Bloom,11.000000,24.051667,0.001000,12
Bloom,11.000000,23.327042,0.001000,13
Bloom,11.000000,23.653083,0.001000,14
Bloom,12.000000,24.226083,0.001000,0
Bloom,12.000000,24.394208,0.001000,1
Bloom,12.000000,24.294916,0.001000,2
Bloom,12.000000,24.214541,0.001000,3
Bloom,12.000000,24.895417,0.001000,4
Bloom,12.000000,24.348250,0.001000,5
Bloom,12.000000,24.359542,0.001000,6
Bloom,12.000000,24.333084,0.001000,7
Bloom,12.000000,24.105834,0.001000,8
Bloom,12.000000,24.378166,0.001000,9
Bloom,12.000000,24.319000,0.001000,10
Bloom,12.000000,24.603750,0.001000,11
Bloom,12.000000,24.397084,0.001000,12
Bloom,12.000000,24.304917,0.001000,13
Bloom,12.000000,24.376959,0.001000,14
Bloom,5.000000,14.673333,0.010000,0
Bloom,5.000000,14.760625,0.010000,1
Bloom,5.000000,14.567875,0.010000,2
Bloom,5.000000,14.664958,0.010000,3
Bloom,5.000000,15.654750,0.010000,4
Bloom,5.000000,15.058583,0.010000,5
Bloom,5.000000,14.648208,0.010000,6
Bloom,5.000000,14.819542,0.010000,7
Bloom,5.000000,14.727708,0.010000,8
Bloom,5.000000,14.919084,0.010000,9
Bloom,5.000000,14.709750,0.010000,10
Bloom,5.000000,14.946875,0.010000,11
Bloom,5.000000,14.774708,0.010000,12
Bloom,5.000000,14.937042,0.010000,13
Bloom,5.000000,14.657541,0.010000,14
Bloom,6.000000,17.305292,0.010000,0
Bloom,6.000000,17.227500,0.010000,1
Bloom,6.000000,16.964041,0.010000,2
Bloom,6.000000,17.200709,0.010000,3
Bloom,6.000000,17.090584,0.010000,4
Bloom,6.000000,17.062833,0.010000,5
Bloom,6.000000,17.140500,0.010000,6
Bloom,6.000000,17.147291,0.010000,7
Bloom,6.000000,17.261541,0.010000,8
Bloom,6.000000,17.142209,0.010000,9
Bloom,6.000000,17.055583,0.010000,10
Bloom,6.000000,17.182334,0.010000,11
Bloom,6.000000,17.057417,0.010000,12
Bloom,6.000000,17.427084,0.010000,13
Bloom,6.000000,17.158958,0.010000,14
Bloom,7.000000,19.431292,0.010000,0
Bloom,7.000000,18.991208,0.010000,1
Bloom,7.000000,19.320042,0.010000,2
Bloom,7.000000,19.195083,0.010000,3
Bloom,7.000000,19.340667,0.010000,4
Bloom,7.000000,19.363375,0.010000,5
Bloom,7.000000,19.262458,0.010000,6
Bloom,7.000000,19.083750,0.010000,7
Bloom,7.000000,19.180958,0.010000,8
Bloom,7.000000,19.259292,0.010000,9
Bloom,7.000000,19.194875,0.010000,10
Bloom,7.000000,19.477125,0.010000,11
Bloom,7.000000,19.127625,0.010000,12
Bloom,7.000000,19.277167,0.010000,13
Bloom,7.000000,19.209333,0.010000,14
Bloom,8.000000,25.233167,0.010000,0
Bloom,8.000000,21.443708,0.010000,1
Bloom,8.000000,21.092542,0.010000,2
Bloom,8.000000,21.232500,0.010000,3
Bloom,8.000000,20.809583,0.010000,4
Bloom,8.000000,20.991542,0.010000,5
Bloom,8.000000,20.897917,0.010000,6
Bloom,8.000000,20.881959,0.010000,7
Bloom,8.000000,20.789417,0.010000,8
Bloom,8.000000,20.920208,0.010000,9
Bloom,8.000000,28.791333,0.010000,10
Bloom,8.000000,20.753459,0.010000,11
Bloom,8.000000,20.861083,0.010000,12
Bloom,8.000000,20.823583,0.010000,13
Bloom,8.000000,20.825709,0.010000,14
Bloom,9.000000,21.516000,0.010000,0
Bloom,9.000000,21.606959,0.010000,1
Bloom,9.000000,22.184792,0.010000,2
Bloom,9.000000,21.864833,0.010000,3
Bloom,9.000000,21.906875,0.010000,4
Bloom,9.000000,21.715625,0.010000,5
Bloom,9.000000,21.825375,0.010000,6
Bloom,9.000000,21.715917,0.010000,7
Bloom,9.000000,21.805375,0.010000,8
Bloom,9.000000,22.333541,0.010000,9
Bloom,9.000000,21.809584,0.010000,10
Bloom,9.000000,22.381000,0.010000,11
Bloom,9.000000,21.863708,0.010000,12
Bloom,9.000000,22.843458,0.010000,13
Bloom,9.000000,22.573209,0.010000,14
Bloom,2.000000,9.722542,0.100000,0
Bloom,2.000000,9.743625,0.100000,1
Bloom,2.000000,10.167584,0.100000,2
Bloom,2.000000,9.938875,0.100000,3
Bloom,2.000000,9.751750,0.100000,4
Bloom,2.000000,9.811208,0.100000,5
Bloom,2.000000,9.776458,0.100000,6
Bloom,2.000000,9.717500,0.100000,7
Bloom,2.000000,9.766917,0.100000,8
Bloom,2.000000,9.696667,0.100000,9
Bloom,2.000000,9.788417,0.100000,10
Bloom,2.000000,9.778875,0.100000,11
Bloom,2.000000,9.692542,0.100000,12
Bloom,2.000000,9.738042,0.100000,13
Bloom,2.000000,9.696167,0.100000,14
Bloom,3.000000,13.911250,0.100000,0
Bloom,3.000000,13.850250,0.100000,1
Bloom,3.000000,13.797125,0.100000,2
Bloom,3.000000,13.942834,0.100000,3
Bloom,3.000000,13.874084,0.100000,4
Bloom,3.000000,13.828625,0.100000,5
Bloom,3.000000,13.869916,0.100000,6
Bloom,3.000000,13.843041,0.100000,7
Bloom,3.000000,13.801333,0.100000,8
Bloom,3.000000,13.829417,0.100000,9
Bloom,3.000000,14.551875,0.100000,10
Bloom,3.000000,13.802250,0.100000,11
Bloom,3.000000,14.100500,0.100000,12
Bloom,3.000000,13.825625,0.100000,13
Bloom,3.000000,13.870792,0.100000,14
Bloom,4.000000,16.494709,0.100000,0
Bloom,4.000000,16.431875,0.100000,1
Bloom,4.000000,16.491417,0.100000,2
Bloom,4.000000,16.460542,0.100000,3
Bloom,4.000000,16.354167,0.100000,4
Bloom,4.000000,16.397208,0.100000,5
Bloom,4.000000,16.529417,0.100000,6
Bloom,4.000000,16.340208,0.100000,7
Bloom,4.000000,16.465875,0.100000,8
Bloom,4.000000,15.821666,0.100000,9
Bloom,4.000000,16.010334,0.100000,10
Bloom,4.000000,15.897375,0.100000,11
Bloom,4.000000,15.851500,0.100000,12
Bloom,4.000000,15.511000,0.100000,13
Bloom,4.000000,15.452166,0.100000,14
Bloom,5.000000,16.728625,0.100000,0
Bloom,5.000000,17.222833,0.100000,1
Bloom,5.000000,18.653792,0.100000,2
Bloom,5.000000,16.715542,0.100000,3
Bloom,5.000000,16.816083,0.100000,4
Bloom,5.000000,16.897458,0.100000,5
Bloom,5.000000,17.180834,0.100000,6
Bloom,5.000000,16.805125,0.100000,7
Bloom,5.000000,16.791250,0.100000,8
Bloom,5.000000,16.889625,0.100000,9
Bloom,5.000000,17.194459,0.100000,10
Bloom,5.000000,16.968750,0.100000,11
Bloom,5.000000,17.825875,0.100000,12
Bloom,5.000000,17.057167,0.100000,13
Bloom,5.000000,17.436541,0.100000,14
Bloom,6.000000,18.487083,0.100000,0
Bloom,6.000000,18.749708,0.100000,1
Bloom,6.000000,18.273834,0.100000,2
Bloom,6.000000,18.273666,0.100000,3
Bloom,6.000000,17.978834,0.100000,4
Bloom,6.000000,19.683500,0.100000,5
Bloom,6.000000,17.938416,0.100000,6
Bloom,6.000000,18.068917,0.100000,7
Bloom,6.000000,17.893625,0.100000,8
Bloom,6.000000,18.176209,0.100000,9
Bloom,6.000000,17.854375,0.100000,10
Bloom,6.000000,17.960083,0.100000,11
Bloom,6.000000,17.734375,0.100000,12
Bloom,6.000000,17.915000,0.100000,13
Bloom,6.000000,18.078458,0.100000,14
