FilterType,f,alpha,targetFpr,n
Cuckoo,11.000000,0.580885,0.001000,1
Cuckoo,11.000000,0.617912,0.001000,1
Cuckoo,11.000000,0.601970,0.001000,1
Cuckoo,11.000000,0.592735,0.001000,1
Cuckoo,11.000000,0.572541,0.001000,1
Cuckoo,11.000000,0.602016,0.001000,1
Cuckoo,11.000000,0.611653,0.001000,1
Cuckoo,11.000000,0.553370,0.001000,1
Cuckoo,11.000000,0.546991,0.001000,1
Cuckoo,11.000000,0.538058,0.001000,1
Cuckoo,12.000000,0.592416,0.001000,1
Cuckoo,12.000000,0.588024,0.001000,1
Cuckoo,12.000000,0.582286,0.001000,1
Cuckoo,12.000000,0.550659,0.001000,1
Cuckoo,12.000000,0.583513,0.001000,1
Cuckoo,12.000000,0.551112,0.001000,1
Cuckoo,12.000000,0.506060,0.001000,1
Cuckoo,12.000000,0.570547,0.001000,1
Cuckoo,12.000000,0.501434,0.001000,1
Cuckoo,12.000000,0.606921,0.001000,1
Cuckoo,13.000000,0.550668,0.001000,1
Cuckoo,13.000000,0.555811,0.001000,1
Cuckoo,13.000000,0.613005,0.001000,1
Cuckoo,13.000000,0.600947,0.001000,1
Cuckoo,13.000000,0.583156,0.001000,1
Cuckoo,13.000000,0.599529,0.001000,1
Cuckoo,13.000000,0.598852,0.001000,1
Cuckoo,13.000000,0.456801,0.001000,1
Cuckoo,13.000000,0.533310,0.001000,1
Cuckoo,13.000000,0.625065,0.001000,1
Cuckoo,14.000000,0.562461,0.001000,1
Cuckoo,14.000000,0.621575,0.001000,1
Cuckoo,14.000000,0.552308,0.001000,1
Cuckoo,14.000000,0.570883,0.001000,1
Cuckoo,14.000000,0.541845,0.001000,1
Cuckoo,14.000000,0.595640,0.001000,1
Cuckoo,14.000000,0.569414,0.001000,1
Cuckoo,14.000000,0.607857,0.001000,1
Cuckoo,14.000000,0.591420,0.001000,1
Cuckoo,14.000000,0.526501,0.001000,1
Cuckoo,15.000000,0.556703,0.001000,1
Cuckoo,15.000000,0.609249,0.001000,1
Cuckoo,15.000000,0.568595,0.001000,1
Cuckoo,15.000000,0.567558,0.001000,1
Cuckoo,15.000000,0.538492,0.001000,1
Cuckoo,15.000000,0.603819,0.001000,1
Cuckoo,15.000000,0.623996,0.001000,1
Cuckoo,15.000000,0.523440,0.001000,1
Cuckoo,15.000000,0.599334,0.001000,1
Cuckoo,15.000000,0.602236,0.001000,1
Cuckoo,8.000000,0.550814,0.010000,1
Cuckoo,8.000000,0.563876,0.010000,1
Cuckoo,8.000000,0.603562,0.010000,1
Cuckoo,8.000000,0.590684,0.010000,1
Cuckoo,8.000000,0.525548,0.010000,1
Cuckoo,8.000000,0.564599,0.010000,1
Cuckoo,8.000000,0.536245,0.010000,1
Cuckoo,8.000000,0.572997,0.010000,1
Cuckoo,8.000000,0.584554,0.010000,1
Cuckoo,8.000000,0.588764,0.010000,1
Cuckoo,9.000000,0.616993,0.010000,1
Cuckoo,9.000000,0.558623,0.010000,1
Cuckoo,9.000000,0.584646,0.010000,1
Cuckoo,9.000000,0.612251,0.010000,1
Cuckoo,9.000000,0.623811,0.010000,1
Cuckoo,9.000000,0.563672,0.010000,1
Cuckoo,9.000000,0.576219,0.010000,1
Cuckoo,9.000000,0.595293,0.010000,1
Cuckoo,9.000000,0.499066,0.010000,1
Cuckoo,9.000000,0.603502,0.010000,1
Cuckoo,10.000000,0.557482,0.010000,1
Cuckoo,10.000000,0.623980,0.010000,1
Cuckoo,10.000000,0.572515,0.010000,1
Cuckoo,10.000000,0.601014,0.010000,1
Cuckoo,10.000000,0.530117,0.010000,1
Cuckoo,10.000000,0.545348,0.010000,1
Cuckoo,10.000000,0.538411,0.010000,1
Cuckoo,10.000000,0.616749,0.010000,1
Cuckoo,10.000000,0.542560,0.010000,1
Cuckoo,10.000000,0.581913,0.010000,1
Cuckoo,11.000000,0.572711,0.010000,1
Cuckoo,11.000000,0.562342,0.010000,1
Cuckoo,11.000000,0.583958,0.010000,1
Cuckoo,11.000000,0.592255,0.010000,1
Cuckoo,11.000000,0.626273,0.010000,1
Cuckoo,11.000000,0.621904,0.010000,1
Cuckoo,11.000000,0.547142,0.010000,1
Cuckoo,11.000000,0.572634,0.010000,1
Cuckoo,11.000000,0.626507,0.010000,1
Cuckoo,11.000000,0.530459,0.010000,1
Cuckoo,12.000000,0.574365,0.010000,1
Cuckoo,12.000000,0.600266,0.010000,1
Cuckoo,12.000000,0.577629,0.010000,1
Cuckoo,12.000000,0.588036,0.010000,1
Cuckoo,12.000000,0.576077,0.010000,1
Cuckoo,12.000000,0.629619,0.010000,1
Cuckoo,12.000000,0.626948,0.010000,1
Cuckoo,12.000000,0.554334,0.010000,1
Cuckoo,12.000000,0.560053,0.010000,1
Cuckoo,12.000000,0.599965,0.010000,1
Cuckoo,5.000000,0.577147,0.100000,1
Cuckoo,5.000000,0.532688,0.100000,1
Cuckoo,5.000000,0.597222,0.100000,1
Cuckoo,5.000000,0.581559,0.100000,1
Cuckoo,5.000000,0.552556,0.100000,1
Cuckoo,5.000000,0.510762,0.100000,1
Cuckoo,5.000000,0.572645,0.100000,1
Cuckoo,5.000000,0.583400,0.100000,1
Cuckoo,5.000000,0.628687,0.100000,1
Cuckoo,5.000000,0.591084,0.100000,1
Cuckoo,6.000000,0.517686,0.100000,1
Cuckoo,6.000000,0.537053,0.100000,1
Cuckoo,6.000000,0.622774,0.100000,1
Cuckoo,6.000000,0.550856,0.100000,1
Cuckoo,6.000000,0.497845,0.100000,1
Cuckoo,6.000000,0.583859,0.100000,1
Cuckoo,6.000000,0.597971,0.100000,1
Cuckoo,6.000000,0.631407,0.100000,1
Cuckoo,6.000000,0.570300,0.100000,1
Cuckoo,6.000000,0.564812,0.100000,1
Cuckoo,7.000000,0.597146,0.100000,1
Cuckoo,7.000000,0.604698,0.100000,1
Cuckoo,7.000000,0.568005,0.100000,1
Cuckoo,7.000000,0.504045,0.100000,1
Cuckoo,7.000000,0.536855,0.100000,1
Cuckoo,7.000000,0.632851,0.100000,1
Cuckoo,7.000000,0.581434,0.100000,1
Cuckoo,7.000000,0.560467,0.100000,1
Cuckoo,7.000000,0.591990,0.100000,1
Cuckoo,7.000000,0.590453,0.100000,1
Cuckoo,8.000000,0.587865,0.100000,1
Cuckoo,8.000000,0.571737,0.100000,1
Cuckoo,8.000000,0.610112,0.100000,1
Cuckoo,8.000000,0.590935,0.100000,1
Cuckoo,8.000000,0.572050,0.100000,1
Cuckoo,8.000000,0.611665,0.100000,1
Cuckoo,8.000000,0.555511,0.100000,1
Cuckoo,8.000000,0.544921,0.100000,1
Cuckoo,8.000000,0.618171,0.100000,1
Cuckoo,8.000000,0.584614,0.100000,1
Cuckoo,9.000000,0.573916,0.100000,1
Cuckoo,9.000000,0.527412,0.100000,1
Cuckoo,9.000000,0.588682,0.100000,1
Cuckoo,9.000000,0.640706,0.100000,1
Cuckoo,9.000000,0.592914,0.100000,1
Cuckoo,9.000000,0.592739,0.100000,1
Cuckoo,9.000000,0.558607,0.100000,1
Cuckoo,9.000000,0.618577,0.100000,1
Cuckoo,9.000000,0.527011,0.100000,1
Cuckoo,9.000000,0.583285,0.100000,1
